framenr,kanji,keyword,public,last_edited,story
814,会,"meeting",0,2018-11-01 17:35:34,"A business meeting involves *meeting* other people in an area closed off by *walls*."
815,至,"climax",0,2018-11-01 17:37:06,"Sexual climaxes don't always happen on the bed; they sometimes happen against a *wall* or on the *ground*!"
816,室,"room",0,2018-11-01 17:39:13,"The rooms in this *house* are made for sleeping and *climaxing*."
817,到,"arrival",0,2018-11-01 17:40:14,"In ancient Japan, your arrival was the *climax* of the trip, and you could finally put your *saber* aside."
818,致,"doth",0,2018-11-01 17:42:46,"At the *climax* of the intensive Shakespeare course, the *taskmaster* insists that you doth speak in Old English."
819,互,"mutually",0,2018-11-01 17:44:54,"Walls that have mutually accepted each other connect themselves together."
820,棄,"abandon",0,2018-11-01 17:49:37,"A terrible image of an abandoned *infant*. Here he is in his little car seat *buckled* to a *tree*."
821,育,"bring up",0,2018-11-01 17:53:17,"#Bringing up# an *infant* requires *months* of hard work."
822,撤,"remove",0,2018-11-01 17:57:13,"To remove your *taskmaster*, *bring up* your middle *finger*"
823,充,"allot",0,2018-11-01 17:59:09,"You must allot as much time as you can training your *infants* until they can walk using their *legs*."
824,銃,"gun",1,2018-11-01 18:01:50,"This gun, a mere amalgamation of *metal*, can shorten your *allotted* time on this earth."
825,硫,"sulfur",0,2018-11-01 18:03:44,"Sulphur IS a *rock*, but it often stinks like a *stream* of *infant* urine. It is the same color too!!!"
826,流,"current",0,2018-11-01 18:07:05,"An *INFANT* fell in the *WATER* and was lost down the CURRENT of the *STREAM*"
827,允,"license",0,2018-11-01 18:08:47,"OI LOVE, RESTING YOUR *ELBOWS* ON YOUR *LEGS* REQUIRES A LICENSE."
828,唆,"tempt",0,2018-11-01 18:15:31,"The *mouths* of the *licensed* officials dropped when they saw her tempting *walking legs*."
829,出,"exit",0,2018-11-05 11:46:12,"Hopefully somewhere between these two mountains we'll find an exit."
830,山,"mountain",0,2018-11-05 11:47:38,"YOU CAN'T POSSIBLY NEED A MNEMONIC FOR THIS!!!!"
831,拙,"bungling",0,2018-11-05 11:49:27,"carry out (a task) clumsily or incompetently, leading to failure or an unsatisfactory outcome.

Trying to find an *exit* in a dark room with just your *fingers* is sure to be a *bungling* feat."
832,岩,"boulder",0,2018-11-05 11:50:41,"Boulders are *rocks* that fall from the *mountains* above, just like in zelda."
833,炭,"charcoal",0,2018-11-05 11:54:54,"Burn enough charcoal and you'll have a *mountain* of* ash*"
834,岐,"branch off",0,2018-11-05 11:55:57,"*Mountains* tend to #*branch* off# into smaller mountains."
835,峠,"mountain pass",0,2018-11-05 11:56:48,"The #mountain pass# allows you to ASCEND or DESCEND the MOUNTAIN."
836,崩,"crumble",0,2018-11-05 11:59:30,"You are climbing a MOUNTAIN with your COMPANION, and are running out of food.  You quickly stuff the last cookie into your mouth, mumbling ""That's the way the cookie CRUMBLES"""
837,密,"secrecy",0,2018-11-05 12:00:36,"to maintain secrecy, secret societies *invariably* have to *house* themselves in the *mountains*"
838,蜜,"honey",0,2018-11-05 12:03:42,"""Honey, did you leave *insects* in the *house* again?"" is a phrase that will *invariably* slash their hearts."
839,嵐,"storm",0,2018-11-05 12:06:05,"The strongest *winds* of a storm occur atop of a *mountain*."
840,崎,"promontory",0,2018-11-05 12:07:08,"A  promontory is a small, *strange mountain* that juts out into the sea."
841,崖,"bluffs",0,2018-11-05 12:10:04,"to get to the MOUNTAIN BLUFFS you have to scale the IVY CLIFFS"
842,入,"enter",0,2018-11-05 12:12:53,"person walking leftward to enter"
843,込,"crowded",0,2018-11-05 12:13:25,"Everybody tries to *enter* the *road* during rush hour. That's why it's so crowded."
844,分,"part",0,2018-11-06 20:32:49,"When something is *entered* by a *dagger*, it ends up being cut in several #parts#."
845,貧,"poverty",0,2018-11-06 20:35:49,"Living in poverty means having to separate your *shellfish* into *parts* for the rest of your family to eat."
846,頒,"partition",0,2018-11-06 20:37:08,"The last time I tried to partition a hard drive under Linux, I got a severe migraine that *parted* my *head*."
847,公,"public",0,2018-11-06 20:41:46,"I always *enter* the doors to the public restrooms with my *elbows* because I don't want to touch the door with my hands."
848,松,"pine tree",0,2018-11-06 20:42:58,"The pine tree is often the most planted *tree* in *public areas*."
849,翁,"venerable old man",0,2018-11-06 20:44:15,"Imagine a venerable old man sitting on a *public* park bench, with hair that looks like *white feathers*."
850,訟,"sue",0,2018-11-06 20:45:34,"Don't use those *words* in *public*, or someone might sue!"
851,谷,"valley",0,2018-11-06 20:48:50,"Think of the classic anime 風の#谷#のナウシカ (Nausicaa of the *Valley* of the Wind). We see Nausicaa *entering* the *valley* *mouth* gliding on an *umbrella*."
852,浴,"bathe",0,2018-11-06 20:51:06,"In old times, people had to bathe in the *valley's* bath*water*."
853,容,"contain",0,2018-11-06 20:52:29,"To CONTAIN the virus, everyone in the VALLEY had to stay in their HOUSES."
854,溶,"melt",0,2018-11-06 20:58:43,"I put a snowman in a Rubbermaid yesterday, and today it melted to mere *water *in a *contain*er."
855,欲,"longing",0,2018-11-06 21:00:42,"Guess what?  Japanese has dirty words too!  (In fact, a lot of them)  A sexual story is NOT inappropriate here, as this kanji is very sexual, such as in 性欲; lust.  As for a story: the *lack* of contact with a woman's *valley* will leave a man LONGING for love."
856,裕,"abundant",0,2018-11-06 21:03:35,"*CLOAKS* are ABUNDANT in the *VALLEY* because of the cold temperature."
857,鉛,"lead (metal)",0,2018-11-06 21:05:51,"Lead is soft *metal* that is extracted from small valleys/*gullies*."
858,沿,"run alongside",0,2018-11-06 21:08:16,"Anyone who has been to Japan has seen all the *water* in the *gullies* #running alongside# the roads and rice paddies."
859,賞,"prize",0,2018-11-07 11:19:25,"First place at the *shellfish*-eating competition gets a prize of several thousand *shells* and a long trip to the *outhouse*."
860,党,"party",0,2018-11-07 11:21:14,"Every major political party, if personified, would look like a giant *outhouse* walking around with * human legs* spewing out a constant stream of bullshit."
861,堂,"hall",0,2018-11-07 11:23:47,"The *land* usually outside an *outhouse* is a hallway."
862,常,"usual",0,2018-11-07 11:26:52,"These days, it's usual to find a paper *towel* dispenser in an *outhouse*."
863,裳,"skirt",0,2018-11-07 11:29:32,"Haven't you ever noticed that the men / women signs on the front of *outhouses* are sometimes very similar?  The silhouettes are usually the same, but one will decidedly be wearing a *garment* in the shape of a SKIRT."
864,掌,"manipulate",0,2018-11-07 11:34:35,"You have the ability to manipulate the *outhouse* into a shitshow with just your *hands*."
865,皮,"pelt",0,2018-11-07 11:37:55,"The easiest target to pelt is the crotch."
866,波,"waves",0,2018-11-07 11:39:03,"The waves *pelt* the shoreline with *water*."
867,婆,"old woman",0,2018-11-07 11:40:13,"An old woman is a *woman* whose *wave* of releveancy has passed."
868,披,"expose",0,2018-11-07 11:44:18,"*Pelting* someone with *fingers* exposes people for who they are."
869,破,"rend",0,2018-11-07 11:46:07,"tear (something) into two or more pieces.

*Pelting* someone continuously with a *rock* will eventually rend the *rock*."
870,被,"incur",0,2018-11-07 11:48:21,"If you purchase both a cloak AND a pelt, you will incur massive expensives.
Pick one!"
871,残,"remainder",0,2018-11-07 11:51:01,"The remainder of your *bones* will be used to construct parade *floats*."
872,殉,"martyrdom",0,2018-11-07 11:53:32,"The *bones* of the martyr are ripped apart each *decameron*. Such as the life in martyrdom."
873,殊,"particularly",0,2018-11-07 11:56:02,"An archeologicist studies ancient *bones*, particularly those colored *vermilion* because they are unusual."
874,殖,"augment",0,2018-11-08 16:37:48,"Augmented reality involves jacking into your *bones* to give you the most *straight* forward experience of your life."
875,列,"file",0,2018-11-08 16:39:22,"A single file line of skeletal warriors, all armed with sabers."
876,裂,"split",0,2018-11-08 16:41:54,"we should walk in a single *file* line so no one sees I split my *undergarments*! (Undergarments should help with position)"
877,烈,"ardent",0,2018-11-08 16:45:04,"enthusiastic or passionate.

#Ardent# baseball fans line up in a single *file* line to get an autograph to feed their *fiery* desires."
878,死,"death",0,2018-11-08 16:50:20,"Grandpa swallowed a *bone* from his soup using a *spoon* somehow, leading to his death."
879,葬,"interment",0,2018-11-08 16:52:38,"I imagine an interment as a funeral. At this funeral it's an open casket, and the dead body (*death*) is holding *flowers* with *both of its hands*."
880,瞬,"wink",0,2018-11-08 16:58:44,"You take off your *sunglasses* so that you can give the girl building a *birdhouse* a wink with your *eyes*."
881,耳,"ear",0,2018-11-08 17:00:39,"Eye but different."
882,取,"take",0,2018-11-08 17:02:18,"""Its too dangerous to go alone take these.""  and so Link takes *earplugs* and *crotch* protection and goes to face the furious Zelda. Ganondorf was not the final boss.."
883,趣,"gist",0,2018-11-08 17:05:06,"To get the gist of it, *take* what you've heard and just *run* with it."
884,最,"utmost",0,2018-11-08 17:07:11,"Do your utmost - seize(take) the day."
885,撮,"snapshot",0,2018-11-08 17:09:41,"To take a snapshot, it is of *utmost* importance that you find the right buttons to hold down with your *fingers*."
886,恥,"shame",0,2018-11-08 17:12:53,"Amelia Ear-Heart (sic) brought shame to those who said women couldn't fly."
887,職,"post",0,2018-11-08 17:15:11,"Worst post in history: quality checker at the kazoo factory. Imagine the toll on your ears!"
888,聖,"holy",0,2018-11-08 17:17:40,"The holy scripts claim that those with *ears* and *mouths* are automatically accepted into God's *king*dom."
889,敢,"daring",1,2018-11-14 22:53:09,"Only a daring student would *nail* the *ear* of the *taskmaster* shut."
890,聴,"listen",0,2018-11-09 13:48:30,"Listen closely with your *ear*: there's an alien going around stabbing *needles* into people's *eyes* and *hearts*."
891,懐,"pocket",0,2018-11-09 13:52:42,"(re: taijuando) When you are in New York City you have to be alert, i.e. in the ""New York *State of Mind*"": you need *ten* *eyes* to make sure no one will go through your *garments* and pick your pockets"
892,慢,"ridicule",0,2018-11-09 13:58:51,"I'll focus on the #mandala# primitive here. I guess Heisig chose this keyword for phonetic reasons and as a character it's the ""man"" in mandara/mandala (曼荼羅). A mandala is a graphic representation of the universe, here split in 3 planes of existance, the *sun* representing the cosmos, the *eye* represents the human observer, the *crotch* represents the animal instincts.

You cannot ridicule someone whose state of mind is in the mandala."
893,漫,"loose",0,2018-11-09 14:00:09,"Hangin' loose at the beach with my bros, sea water splashes on my mandala tattoo."
894,買,"buy",0,2018-11-09 14:02:31,"*Eye*balls are cheap enough that you'll always have enough *shells* to buy them."
895,置,"placement",0,2018-11-09 14:05:29,"The placement of the furniture is determined by how *straight* it appears to one's *eye*."
896,罰,"penalty",1,2018-11-09 14:10:08,"You'll get a penalty if you look at the other teams with your *eyes*, try to overhear their *words*, or try to attack them with a *saber*."
897,寧,"rather",0,2018-11-09 14:11:28,"I'd rather die peacefully in my *house* from a *heart* attack than from a *spike* in my *eye*."
898,濁,"voiced",0,2018-11-09 14:15:34,"In Japanese, voiced consonants are marked with a dakuten. A  し has a soft sound, like flowing *water*. But, if you *eye* two little lines *bound* above it, you know it is a じ with a hard sound, like the chirping of an *insect*."
899,環,"ring",0,2018-11-14 22:06:22,"In conjunction with {還}.......

When I tried to give her the *jewel* ring, she *eyed* me, threw it to the *floor*, opened her *mouth *and tried to speak, she said nothing. She grabbed her *scarf* and left."
900,還,"send back",0,2018-11-14 22:07:46,"Continued from {環}.......

So I'm on the *road* going to #send back# the *ring* minus the *jewel*, the hit to the floor knocked it out."
901,夫,"husband",0,2018-11-14 22:11:45,"Whoah! Your husband is one (一) large (大) person (人)! (This is a polite way of saying 'Bloody hell! Your husband's a right fat bastard!')"
902,扶,"aid",0,2018-11-14 22:13:50,"The wife comes to the aid of her *husband* after he cut his *finger*."
903,渓,"mountain stream",0,2018-11-14 22:17:12,"The *water* from the mountain stream saved my *husband* from thirst, dehydration and the *vultures*."
904,規,"standard",0,2018-11-14 22:19:30,"In the male-dominated world of yesterday, the *husband*'s way of *seeing* things was considered the standard point of view. Women who dared to disagree were frowned upon."
905,替,"exchange",1,2018-11-14 22:26:53,"Instead of exchanging stocks, the stock exchange here trades *husbands* until *sun*down."
906,賛,"approve",0,2018-11-14 22:23:15,"Out of two potential *husbands*, which would you approve of? Well, the one with *shells* (money) of course!!!"
907,潜,"submerge",1,2018-11-14 22:26:20,"You can only submerge your phone in the *water* for so long until you need to *exchange* it for a new one."
908,失,"lose",0,2018-11-14 22:27:35,"The *drop* falling here is the *husband's* toupee... he's already #lost# his hair once, now he's #losing# it again. Such is life, I suppose."
909,鉄,"iron",0,2018-11-14 22:30:10,"Iron bars are refined *to drop* imperfections until it is pure *metal*."
910,迭,"alternate",0,2018-11-14 22:34:21,"Cars often have to alternate shift gears on the *road* *to drop* speed."
911,臣,"retainer",0,2018-11-14 22:37:40,"Statistics are still #retained# in a box-and-whisker plot form even on a vertical axis."
912,姫,"princess",0,2018-11-14 22:38:17,"Princess Leia becomes Jabba's slave (“princess Leia is a woman slave”)."
913,蔵,"storehouse",0,2018-11-14 22:39:54,"The #storehouse# is *overgrown* with *slaves*.   The *slaves* are to be sold in the store, to differentiate from a warehouse, which doesn't have the word ""store"" in it."
914,臓,"entrails",0,2018-11-15 17:41:10,"A massarce happened at a *storehouse* with entrails and *flesh* scattered about."
915,賢,"intelligent",0,2018-12-12 22:30:22,"Intelligent people don't have to become *prostitutes* to make enough *shells*."
916,腎,"kidney",0,2018-11-15 17:46:02,"Neither do the *prostitutes* have to sell their kidneys on the *body part* black market."
917,堅,"strict",0,2018-11-15 17:48:04,"*Prostitutes* have to follow strict guidelines so they don't end up dead on the *ground*."
918,臨,"look to",0,2018-11-15 17:51:00,"Come on down to the massage chair *storehouse*. You'll find many *reclining goods* to look towards"
919,覧,"perusal",0,2018-11-15 17:54:02,"the *slave* *reclines* on the *floor*, *seeing* material for perusal entitled, ""How to See Your Way to Freedom."""
920,巨,"gigantic",0,2018-11-15 17:55:27,"The letter E, with a GIGANTIC middle stroke."
921,拒,"repel",0,2018-11-15 17:56:27,"Want to REPEL someone?  Give em the *gigantic finger* - your biggest finger, which is your middle one of course!  (It's even more memorable if you imagine someone with a grotesquely large middle finger)."
922,力,"power",0,2018-11-15 17:57:14,"Harness the power of KA."
923,男,"man",0,2018-11-15 17:58:16,"Only the man has enough *power* to plow the rice *field*."
924,労,"labor",0,2018-11-15 18:00:53,"Being a teacher requires a lot of hard labor. You must have enough *power* to labor through the day at the *schoolhouse*."
925,募,"recruit",0,2018-11-15 18:03:34,"The US Army has stopped low enough to attempt to recruit those at the *graveyard* who have lost all their* power*."
926,劣,"inferiority",0,2018-11-15 18:05:48,"Harry Potter cast a spell of inferiority on everyone at Hogwarts, for there were *few* on campus who could match his *power*."
927,功,"achievement",0,2018-11-15 18:07:34,"The great #achievement#s of humankind, were *crafts* completed by *muscle power*: the pyramids, the Eiffel tower, etc."
928,勧,"persuade",0,2018-11-15 18:18:02,"*Pegasus* held a lot of magical *power*. Local officials attempted to persuade *Pegasus* into giving some of his* power *to the police force."
929,努,"toil",0,2018-11-16 14:02:04,"*Guys* must toil the field, for they have the *power* to do so."
930,勃,"uprising",0,2018-11-16 14:07:56,"During an uprising, hide your *child* in the *chapel* from the *power* of the people."
931,励,"encourage",0,2018-12-04 22:06:11,"*Ten thousand* *muscles* pumping in the air #encouraging# the person to jump off the *cliff*."
932,加,"add",0,2018-11-16 14:14:09,"Add my muscle to your mouth."
933,賀,"congratulations",0,2018-11-16 14:15:07,"Congratulations! You just *added* many *shells* to your bank account!"
934,架,"erect",0,2018-11-16 14:17:57,"*Adding* Lincoln *Logs* to a base will erect a wonderful structure."
935,脇,"armpit",0,2018-11-16 14:18:49,"Armpit is the *flesh* near your *tri*ceps."
936,脅,"threaten",0,2018-11-16 14:21:36,"A good way to threaten someone is to flex your *triceps* above a full *moon*."
937,協,"co-",0,2018-11-16 14:24:41,"If we cooperate, we will have *ten* times as much *power* and *triceps*."
938,行,"going",0,2018-11-16 14:27:38,"Front current of a stream carrying behind"
939,律,"rhythm",0,2018-11-16 14:29:39,"Imagine that Rhythm Heaven minigame where you are *going* from one kanji to another, drawing them with a *brush* in rhythmic fashion."
940,復,"restore",0,2018-11-16 14:34:23,"You can restore a *folded* piece of paper by un*folding*, although you'll have *lines* or creases going down the paper."
941,得,"gain",0,2018-11-16 14:36:29,"To gain more knowledge of japanese I'm reading *column* after *column* of RTK, and it takes so much time that I'm *glued* to my SRS until *nightbreak* (I love you Spidercat)"
942,従,"accompany",0,2018-11-16 14:38:59,"""I'm gonna GO and FIX my HORNINESS (masturbate)"", ""Oh, ok, I'll ACCOMPANY you then"""
943,徒,"junior",0,2018-11-16 14:40:27,"Your junior or Jr. in the succession *line* is the one who *run*s after you"
944,待,"wait",0,2018-11-17 16:38:23,"If you want to *go* into the *Buddhist temple*, you'll have to wait for the monks to let you in."
945,往,"journey",0,2018-11-17 16:41:14,"The journey that the Olympic torch or *candlestick* takes has it *going* all around the world."
946,征,"subjugate",0,2018-11-17 16:43:22,"The Americans *go* in and enforce what they think is the '*correct*' thing to do, but really all they're doing is SUBJUGATING others to western ideologies"
947,径,"diameter",0,2018-11-17 16:47:58,"The circumference of a *spool* is always *going* to be the DIAMETER multiplied by 'π'"
948,彼,"he",0,2018-11-17 16:51:58,"He's *going* to *pelt* me with a snowball!"
949,役,"duty",0,2018-11-17 16:53:42,"It is a soldier's duty to prevent *missiles* from *going* to America."
950,徳,"benevolence",0,2018-11-17 16:57:03,"the quality of being well meaning; kindness.

You can show your benevolence by *going* to defeat the alien who's been stabbing people with a *needle* in their *eyes* and *hearts*."
951,徹,"penetrate",0,2018-11-17 17:01:14,"Penetrate = ""#goes# into."" As in the lessons of the taskmaster penetrating the minds of those he's bringing up."
952,徴,"indications",0,2018-11-17 17:05:23,"If there's any #indication# of malpractice in the *king*dom, the *mountain king* will have to *go* personally to hunt down and kill the malicious *taskmaster*."
953,懲,"penal",0,2018-11-17 17:10:44,"Penal code *indicates* that a sentence will be as long as your *heart* can take."
954,微,"delicate",0,2018-11-17 17:15:43,"We're *going* up the *mountain* announces the *taskmaster*. Anyone with *legs* too delicate must stay behind"
955,街,"boulevard",0,2018-11-17 17:12:30,"The boulevard of broken *ivy*."
956,桁,"girder",0,2018-11-17 17:18:31,"If you are *going* to make girders, do not use *wood*."
957,衡,"equilibrium",0,2018-11-17 17:23:17,"To maintain the social equilibrium in a future dystopian society, the *brains* of citizens are *bound up* (hypnotized). The government is using mental wave emitting statues shaped like *St. Bernard's dogs* put alongside the *boulevards*."
958,稿,"draft",0,2018-11-18 21:52:24,"The first draft of my story begins with a woman waking up in a *tall wheat* field."
959,稼,"earnings",0,2018-11-18 21:55:56,"The *wheat* that you bring *home* will be your earnings."
960,程,"extent",0,2018-11-18 21:58:56,"To what extent will farmers go to show off their *wheat* field *displays*?"
961,税,"tax",0,2018-11-18 22:00:37,"For poor wheat-growers, tax is like the devil."
962,稚,"immature",0,2018-11-18 22:02:03,"#Immature# *turkeys* are stuffed with *wheat* to make them bigger."
963,和,"harmony",0,2018-11-18 22:05:09,"When there is enough *wheat* 禾 (grain) to feed every *mouth* 口, people live in harmony."
964,移,"shift",0,2018-11-18 22:09:10,"There are *many* cultural shifts in the ways harvested *wheat* is used around the world."
965,秒,"second",0,2018-11-18 22:12:54,"When preparing the *wheat* into delicious bread, the bakers always claim it'll be out in a *few* seconds, when it never does."
966,秋,"autumn",0,2018-11-18 22:15:43,"Autumn is harvest season when the *wheat* is harvested and the leaves turn to *fiery* colors."
967,愁,"distress",0,2018-11-18 22:21:05,"Distress can be a seasonal thing. Seasonal Affective Disorder (SAD) is a recognised condition where the sufferer experiences distress, usually depression, in the autumn year after year. This kanji represents distress with the primitives *autumn* over *heart*. (thanks fuaburisu)"
968,私,"private",0,2018-11-18 22:25:12,"Private firms mortgage the *wheat* farms and strangle their owners by the *elbow* for their cash back."
969,秩,"regularity",0,2018-11-18 22:26:51,"*Dropping wheat* from your diet will improve your digestive #regularities#."
970,秘,"secret",0,2018-11-18 22:28:38,"Not keeping your secret will *invariably* mean taking you out into a *wheat* field for execution."
971,称,"appellation",0,2018-11-18 22:34:21,"a name or title.

Giving your children an appellation usually determined their occupation, Farmer meant you would tend to the *wheat* field, Slacker meant you *reclined* all the time, Little meant you were *little*."
972,利,"profit",0,2018-11-18 22:37:33,"Your profit is determined by how much *wheat* you cut down with your *saber*."
973,梨,"pear tree",0,2018-11-26 11:45:54,"#Pear *trees*# generate a measly *profit*."
974,穫,"harvest",0,2018-11-26 11:48:43,"To make sure the harvest is a success, we have stationed *vessels* around the farm to look over the *wheat* and *flowers*."
975,穂,"ear of a plant",0,2018-11-26 11:51:40,"Of the *wheat* plant, the most *favor*able part is the #ear#"
976,稲,"rice plant",0,2018-11-26 11:54:41,"Since *olden times*, farmers had to fend off *vultures* and wild *wheat *from ruining their rice plant."
977,香,"incense",0,2018-11-26 11:58:56,"It is tradition to light incense after tending to the* wheat *fields after *sun *down."
978,季,"seasons",0,2018-11-26 12:02:07,"There's a season for planting wheat and there's mating season for having children."
979,委,"committee",0,2018-11-26 12:06:07,"The Farmer's Committee oversees the *wheat* fields and largely employed by *women*."
980,秀,"excel",0,2018-11-26 12:08:51,"The icon of the Special edition of Microsoft Excel for Farmers shows a *fist* holding *wheat*."
981,透,"transparent",0,2018-11-26 12:10:37,"You must *excel* at being transparent on the *road* to avoid speed cameras"
982,誘,"entice",0,2018-11-26 12:14:55,"*Word* and *Excel* somehow manage to entice people to use them, despite their plethora of bugs."
983,稽,"training",0,2018-11-26 17:51:20,"An insane training montage in a movie may have the person hopping through a *wheat *field carrying a *chihuahua on one leg *while having a *delicious* spoon in his mouth."
984,穀,"cereals",0,2018-11-26 12:22:44,"New marshmallows in your whole *grain* Lucky Charms cereals: *Samurai, crown, and missles*"
985,菌,"germ",0,2018-11-26 12:24:50,"The germ of the *wheat *plant is* pent in*side the *flowery* part."
986,萎,"numb",0,2018-11-26 12:27:56,"After the Farmer's *Committee *decides to ban *flowers* from the fields, you start singing I'VE BECOME SO NUMB"
988,粉,"flour",0,2018-11-27 19:57:28,"*Rice* flour is made of microscopic *parts* of *rice*."
989,粘,"sticky",0,2018-11-27 19:59:25,"What's brown and sticky? You don't need a *fortune teller *to tell you it's not *rice*."
990,粒,"grains",0,2018-11-27 20:00:54,"Grains of uncooked *rice *are kept in a *vase*."
991,粧,"cosmetics",0,2018-11-27 20:04:12,"Modern cosmetics are just the descendants of the old RICE flour and CAVE DIRT ('cause it's darker) used in the past."
992,迷,"astray",0,2018-11-27 20:10:04,"You could be led astray if you walk down the *roads* of the *United States*."
993,粋,"chic",0,2018-11-27 20:12:10,"In extremely chic restaurants, you have to pay 90 bucks for a bowl of rice."
994,謎,"riddle",0,2018-11-27 20:15:13,"A riddle may be *worded* in a way that wants you to be led *astray* by the *wording.*"
995,糧,"provisions",0,2018-11-27 20:17:44,"*Rice* may be #provisioned# into small *quantities*"
996,菊,"chrysanthemum",0,2018-11-27 20:20:33,"At weddings chrysanthemum flowers are often bound up and thrown at the couple along with rice."
997,奥,"core",0,2018-11-27 20:24:43,"A *drop* of *rice* has a *large* core with many nutrients *pent in*."
998,数,"number",0,2018-11-27 20:26:46,"Remember the nice *woman taskmaster* who taught you the numbers using* rice*?"
999,楼,"watchtower",0,2018-11-27 20:33:32,"A *woman* from the Farmer's Committee is stationed at the watchtower *tree*house to watch over everyone's *rice* fields."
1000,類,"sort",0,2018-11-27 20:36:57,"Instead of sorting *rice*, imagine sorting *large* amounts of integers. Only an efficient sorting algorithm will get you a*head* of the competition."
1001,漆,"lacquer",0,2018-11-27 20:40:55,"Lacquer is a *water*y substance that protects your *wooden* surfaces like an *umbrella* from *rice* staining it."
1002,膝,"knee",0,2018-11-27 20:42:48,"Your knees are made of* flesh* that protect you like* lacquer*."
1003,様,"Esq. (sama)",0,2018-11-28 11:28:36,"Suzuki-#sama# owned *lumber*, a herd of *sheep* and many sacks of *rice*."
1004,求,"request",0,2018-11-28 11:36:23,"The farmer humbly requested for a* top hat *and a *dash* of* rice.*"
1005,球,"ball",0,2018-11-28 11:37:34,"Balls are mass produced on *request*."
1006,救,"salvation",0,2018-11-28 11:38:55,"Everyone *requests* salvation from their *teacher-taskmaster*"
1007,竹,"bamboo",0,2018-11-28 11:41:23,"Two bamboo stalks."
1008,笑,"laugh",0,2018-11-28 11:44:15,"*Bamboo* is no laughing matter if the *witch* can make it grow when you're trapped."
1009,笠,"bamboo hat",0,2018-11-28 11:48:24,"The Bamboo hat, #stands# on your head."
1010,笹,"bamboo grass",0,2018-12-02 17:27:47,"Bamboo grass has been planted for *generations*!

As=armstrong"
1011,箋,"stationery",0,2018-11-28 11:53:21,"The ""Stationery Bamboo Float"" is just a kiosk that sells stationery. It couldn't be used in the parade because its...you guessed it...stationary."
1012,筋,"muscle",0,2018-11-28 11:57:20,"Muscle is the *part of the body* that is *power*ful and strong as *bamboo*."
1013,箱,"box",0,2018-11-28 12:00:51,"Imagine an x#box# special edition made of *bamboo* that connects to the *inter*net."
1014,筆,"writing brush",0,2018-11-28 12:01:55,"My writing brush is made of bamboo."
1015,筒,"cylinder",0,2018-11-28 12:03:10,"All BAMBOO sticks look the SAME, just long CYLINDERS."
1016,等,"etc.",0,2018-11-28 12:04:33,"""So what'd you see in Japan?"" - ""*Bamboo*, *temples*...#etc.#"""
1017,算,"calculate",0,2018-11-28 12:07:02,"To calculate how much *bamboo* you have, you have look for them with your *eyes* and count them on your *two hands*."
1018,答,"solution",0,2018-11-29 17:56:31,"Imagine a Professor Layton puzzle where you are given *bamboo* sticks and you must *fit* them together to find the solution."
1019,策,"scheme",0,2018-11-29 17:59:21,"In the grand scheme of things, *belting* someone to a *tree* when* bamboo* shoots are coming up is the cruelest punishment of them all."
1020,簿,"register",0,2018-11-29 18:04:18,"At the register in the body massage parlor, you are given the option to replace flowers with *bamboo *shoots to *dilute *yourself."
1021,築,"fabricate",0,2018-11-29 18:07:05,"Lies are *mediocrely crafted* #fabrications# like trying to sell off *bamboo* as *wood*."
1022,篭,"basket",0,2018-11-29 18:12:28,"You can carry a baby *dragon* in a basket made of* bamboo*."
1023,人,"person",1,2019-11-08 21:38:17,"#Choose this primitive wisely#, because I didn't and I ended up having to write 200 pages of Obama fanfiction for future stories."
1024,佐,"assistant",0,2018-11-29 18:16:37,"To the left of *Obama* is his *assistant*, Joe Biden."
1025,侶,"partner",0,2018-11-29 18:18:19,"*Obama* can only partner up with someone with a *spine*."
1026,但,"however",0,2018-11-29 18:20:32,"Most presidents worked until midnight, however *Obama* works until *nightbreak*."
1027,住,"dwell",0,2018-11-29 18:24:23,"*Obama* dwelled in the White House where many of the forefathers/*lords* worked before him."
1028,位,"rank",0,2018-11-29 18:26:16,"*Obama*'s rank *stood* above anyone in America."
1029,仲,"go-between",0,2018-11-29 18:30:43,"an intermediary or negotiator.

Due to constant tensions between the parties, *Obama* had to act as a go-between to strike deals *in the middle*."
1030,体,"body",0,2018-11-29 18:32:45,"*Obama's* body reads like a *book*.

I really regret making Obama my primitive for person..."
1031,悠,"remote",0,2018-11-29 18:35:23,"If *Obama* were stranded on a remote island, it would be from the bottom of his *heart* to take a *walking stick * and become a* taskmaster* for the locales"
1032,件,"affair",0,2018-11-29 18:38:11,"When rumors of affairs swirled around the  *Obama *White House, he tried to not have a *cow*."
1033,仕,"attend",0,2018-11-30 11:42:10,"*Obama* didn't attend the* samurai *show because he wasn't interested."
1034,他,"other",0,2018-11-30 11:44:00,"*Obama* eats *scorpions*. Other than that, he's pretty normal."
1035,伏,"prostrated",0,2018-11-30 11:47:19,"*Obama* had to prostrate his *dog*, Bo."
1036,伝,"transmit",0,2018-11-30 11:50:21,"Because *Obama's *communication lines were jammed, *Obama *had to transmit his communications via smoke signals/*rising clouds*"
1037,仏,"Buddha",0,2018-11-30 11:53:38,"Being a world leader, *Obama* often nudged elbows with the *Buddha*."
1038,休,"rest",0,2018-11-30 11:56:17,"Imagine a news report showing* Obama *#rest#ing against a* tree*."
